2026-06-13T20:02:33.837539	DEBUG	todoapp/main.go:29	initializing postgres connection pool
2026-06-13T20:02:33.842431	DEBUG	todoapp/main.go:39	initializing feature	{"feature": "users"}
2026-06-13T20:02:33.842501	DEBUG	todoapp/main.go:44	initializing HTTP server
2026-06-13T20:02:33.842580	WARN	server/server.go:56	start HTTP server	{"addr": ":5050"}
2026-06-13T20:02:36.807385	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "b1860fb4-e35e-4f8a-b4fd-92588aa2f977", "http method": "PATCH", "url": "/api/v1/users/1", "time": "2026-06-13T17:02:36.807384"}
2026-06-13T20:02:36.815518	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "b1860fb4-e35e-4f8a-b4fd-92588aa2f977", "http method": "PATCH", "url": "/api/v1/users/1", "status code": 200, "latency": "8.132127ms"}
2026-06-13T20:02:46.195679	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "23ac4152-d99e-4879-8df2-ebcc6142da24", "http method": "GET", "url": "/api/v1/users", "time": "2026-06-13T17:02:46.195677"}
2026-06-13T20:02:46.197611	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "23ac4152-d99e-4879-8df2-ebcc6142da24", "http method": "GET", "url": "/api/v1/users", "status code": 200, "latency": "1.92984ms"}
2026-06-13T20:03:22.068173	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "5e615537-da24-494d-8407-454a6b482847", "http method": "PATCH", "url": "/api/v1/users/1", "time": "2026-06-13T17:03:22.068172"}
2026-06-13T20:03:22.068381	WARN	response/handler.go:59	failed to decode and validate HTTP request	{"request_id": "5e615537-da24-494d-8407-454a6b482847", "http method": "PATCH", "url": "/api/v1/users/1", "error": "request validator: 'FullName' must be between 3 and 100 symbols: invalid argument"}
2026-06-13T20:03:22.068437	ERROR	response/handler.go:76	failed to decode and validate HTTP request	{"request_id": "5e615537-da24-494d-8407-454a6b482847", "http method": "PATCH", "url": "/api/v1/users/1", "error": "request validator: 'FullName' must be between 3 and 100 symbols: invalid argument"}
2026-06-13T20:03:22.068534	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "5e615537-da24-494d-8407-454a6b482847", "http method": "PATCH", "url": "/api/v1/users/1", "status code": 400, "latency": "361.026µs"}
2026-06-13T20:04:52.320539	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "70979cdf-6653-4746-a12f-216409687f2e", "http method": "PATCH", "url": "/api/v1/users/1", "time": "2026-06-13T17:04:52.320538"}
2026-06-13T20:04:52.320697	WARN	response/handler.go:59	failed to decode and validate HTTP request	{"request_id": "70979cdf-6653-4746-a12f-216409687f2e", "http method": "PATCH", "url": "/api/v1/users/1", "error": "request validator: 'PhoneNumber' must be beetwen 10 and 15: invalid argument"}
2026-06-13T20:04:52.320738	ERROR	response/handler.go:76	failed to decode and validate HTTP request	{"request_id": "70979cdf-6653-4746-a12f-216409687f2e", "http method": "PATCH", "url": "/api/v1/users/1", "error": "request validator: 'PhoneNumber' must be beetwen 10 and 15: invalid argument"}
2026-06-13T20:04:52.320825	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "70979cdf-6653-4746-a12f-216409687f2e", "http method": "PATCH", "url": "/api/v1/users/1", "status code": 400, "latency": "286.614µs"}
2026-06-13T20:05:01.613412	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "100372f0-1d78-4bed-a67e-94a9b201ad2f", "http method": "PATCH", "url": "/api/v1/users/1", "time": "2026-06-13T17:05:01.613410"}
2026-06-13T20:05:01.619414	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "100372f0-1d78-4bed-a67e-94a9b201ad2f", "http method": "PATCH", "url": "/api/v1/users/1", "status code": 200, "latency": "6.000495ms"}
2026-06-13T20:05:04.742341	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "cd4bc212-354f-43cd-81c1-542cdfb20459", "http method": "GET", "url": "/api/v1/users", "time": "2026-06-13T17:05:04.742340"}
2026-06-13T20:05:04.743143	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "cd4bc212-354f-43cd-81c1-542cdfb20459", "http method": "GET", "url": "/api/v1/users", "status code": 200, "latency": "802.14µs"}
2026-06-13T20:05:51.712108	DEBUG	middleware/common.go:74	>>> incoming HTTP Request	{"request_id": "1589c59a-c613-43f1-9e30-cfd876ed9d87", "http method": "PATCH", "url": "/api/v1/users/2", "time": "2026-06-13T17:05:51.712107"}
2026-06-13T20:05:51.717978	DEBUG	middleware/common.go:80	<<< done HTTP Request	{"request_id": "1589c59a-c613-43f1-9e30-cfd876ed9d87", "http method": "PATCH", "url": "/api/v1/users/2", "status code": 200, "latency": "5.868982ms"}
